"","width","SRR1532959","SRR1532960","SRR1532961","SRR1532962","SRR1532963","SRR1532964"
"WBGene00000001",1806,5983,2771,7089,3641,10083,7498
"WBGene00000002",1739,23,1,3,10,14,14
"WBGene00000003",1738,86,95,230,152,255,266
"WBGene00000004",2027,244,139,50,27,134,110
"WBGene00000005",1821,0,0,0,0,0,0
"WBGene00000006",1937,1,0,21,2,50,44
"WBGene00000007",1765,0,0,4,5,2,24
"WBGene00000008",1593,0,0,0,0,0,1
"WBGene00000009",1562,0,0,0,0,0,0
"WBGene00000010",2089,932,470,1017,691,1424,1595
"WBGene00000012",314,0,0,0,0,2,4
"WBGene00000013",258,0,0,0,0,2,0
"WBGene00000014",270,0,0,0,0,0,0
"WBGene00000015",441,0,0,0,0,0,0
"WBGene00000016",479,0,0,0,0,0,12
"WBGene00000017",702,0,0,0,0,0,14
"WBGene00000018",4479,2860,768,4449,2669,5474,5344
"WBGene00000019",4719,0,0,0,0,4,0
"WBGene00000020",6672,1,11,11,16,77,25
"WBGene00000021",4538,0,0,0,0,0,0
"WBGene00000022",5543,0,0,0,0,0,0
"WBGene00000023",4875,0,0,2,0,91,1
"WBGene00000024",1405,0,0,0,0,0,0
"WBGene00000025",1719,0,0,0,0,0,0
"WBGene00000026",981,0,0,0,0,0,0
"WBGene00000027",1060,0,0,0,0,0,0
"WBGene00000028",1008,0,0,0,0,0,0
"WBGene00000029",1167,0,0,0,0,0,0
"WBGene00000030",1466,0,0,0,0,0,0
"WBGene00000031",1523,0,0,0,0,0,0
"WBGene00000032",1137,0,0,0,0,0,0
"WBGene00000033",1268,0,0,0,0,0,0
"WBGene00000034",1295,0,0,0,0,0,0
"WBGene00000035",2468,10,0,46,20,93,13
"WBGene00000036",2987,0,0,0,0,4,12
"WBGene00000037",2200,0,1,10,1,5,17
"WBGene00000038",2065,0,0,0,0,0,0
"WBGene00000039",3082,27,12,47,12,86,70
"WBGene00000040",2831,5065,3067,6508,3717,10227,7869
"WBGene00000041",2902,4727,2410,6448,5397,13847,12094
"WBGene00000042",2037,0,0,0,0,0,1
"WBGene00000043",1659,0,0,0,0,0,12
"WBGene00000044",2059,0,1,0,0,7,11
"WBGene00000045",1666,0,0,0,0,0,0
"WBGene00000046",1723,0,0,2,0,10,4
"WBGene00000047",1810,13,10,44,21,76,43
"WBGene00000048",1944,10,26,8,8,23,32
"WBGene00000049",1743,0,0,0,0,0,0
"WBGene00000050",1473,31,9,46,25,57,68
"WBGene00000051",2059,0,0,20,13,6,8
"WBGene00000053",1503,4,0,1,2,5,15
"WBGene00000054",1501,0,0,0,0,13,0
"WBGene00000055",1822,182,205,329,217,668,447
"WBGene00000056",2354,57,32,82,45,133,37
"WBGene00000057",1615,29,0,20,20,18,11
"WBGene00000058",1983,0,0,14,6,19,30
"WBGene00000059",1847,660,483,1801,1168,2058,1668
"WBGene00000060",1981,3,0,2,1,16,2
"WBGene00000061",1478,0,0,0,0,0,0
"WBGene00000062",1795,0,0,0,0,0,16
"WBGene00000063",1264,9589,11068,14097,8984,25700,20061
"WBGene00000064",1281,55117,54521,73548,49135,120615,104022
"WBGene00000065",1558,14269,13871,21058,13525,34414,29988
"WBGene00000066",1601,1363,1660,1533,823,2274,2352
